date,Z,day_true,sig
2024-03-20,-266.2857381613721,1,True
2024-03-21,-408.65846006545553,1,True
2024-03-24,-318.23622092710315,1,True
2024-03-25,-361.3012975290525,1,True
2024-03-31,-361.79787331432243,1,True
2024-04-01,-380.7149376205413,1,True
2024-04-02,-399.20635677186874,1,True
2024-04-03,-308.8903964634852,1,True
2024-04-04,-264.81866142023136,1,True
2024-04-07,-294.59916387075293,1,True
2024-04-08,-314.8169506344247,1,True
2024-04-09,-300.8568083880319,1,True
2024-04-10,-457.2919834420948,1,True
2024-04-11,-297.513576850374,1,True
2024-04-14,-307.434337709692,1,True
2024-04-15,-348.80864161900973,1,True
2024-04-16,-311.16642723029673,1,True
2024-04-17,-335.87611474132876,1,True
2024-04-18,-319.8343197926904,1,True
2024-04-21,-372.9954182805164,1,True
2024-04-22,-247.37869014955754,1,True
2024-04-23,-418.85243704244886,1,True
2024-04-24,-250.63624529977815,1,True
2024-04-25,-393.77275180694977,1,True
2024-04-28,-455.74003662336355,1,True
2024-04-29,-343.98826235489963,1,True
2024-04-30,-282.05083631325454,1,True
2024-05-01,-341.18322761422826,1,True
2024-05-02,-210.51272098040647,1,True
2024-05-05,-309.0747128574909,1,True
2024-05-06,-444.47957165722477,1,True
2024-05-07,-423.47895830488073,1,True
2024-05-08,-312.16610368103653,1,True
2024-05-09,-405.64492919850244,1,True
2024-05-12,-370.5258168468461,1,True
2024-05-13,-418.72497993013405,1,True
2024-05-14,-312.3767733402796,1,True
2024-05-15,-411.0843762409288,1,True
2024-05-16,-361.27952222054273,1,True
2024-05-19,-415.7064973731304,1,True
2024-05-20,-447.9877115003782,1,True
2024-05-21,-222.8891082063567,1,True
2024-05-22,-353.96112975234655,1,True
2024-05-23,-385.3127579805684,0,True
2024-05-26,-337.1970563287393,1,True
2024-05-27,-364.2521661059693,1,True
2024-05-28,-449.18197425987853,1,True
2024-06-02,-391.4675347580349,1,True
2024-06-03,-306.9188656761618,1,True
2024-06-04,-301.47956377806963,1,True
2024-06-05,-347.68456721679735,1,True
2024-06-06,-297.9966344572388,1,True
2024-06-09,-449.80501755688414,1,True
2024-06-10,-441.3225399921475,1,True
2024-06-11,-277.3628317677266,1,True
2024-06-12,-312.3340518407148,1,True
2024-06-13,-450.5472346626796,1,True
2024-06-16,-288.4018627822339,1,True
2024-06-17,-325.4387439723034,1,True
2024-06-18,-411.5207749612256,1,True
2024-06-19,-341.0659755986306,1,True
2024-06-20,-252.8842247220642,1,True
2024-06-23,-398.7078578919023,1,True
2024-06-24,-395.8696968870053,1,True
2024-06-25,-364.57193871412954,1,True
2024-06-26,-344.53274679998685,1,True
2024-06-27,-350.723755370817,1,True
2024-06-30,-354.6160367462738,1,True
2024-07-01,-353.82956078827635,1,True
2024-07-02,-372.778725982934,1,True
2024-07-03,-394.1372476934887,1,True
2024-07-04,-279.41645419381103,1,True
2024-07-07,-234.08170834918698,1,True
2024-07-08,-388.80418368417213,1,True
